area,file,lat,lon,radius_km,Shops,Supermarkets,Markets,Mosques,Churches,Places of worship (other),Schools,Nurseries,Colleges,Hospitals,Clinics,Pharmacies,Banks,ATMs,Money transfer,Fuel stations,Restaurants & cafes,Bars,Police,Post offices,Fire stations,Ferry terminals,Bus & taxi ranks,Public water points,Government offices,Hotels & guesthouses,Sports grounds & gyms,Nature reserves,Libraries,Workshops
Ghana Town,ghana-town.html,13.38444,-16.77111,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ghana Town,ghana-town.html,13.38444,-16.77111,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,2,0,0
Ghana Town,ghana-town.html,13.38444,-16.77111,3,2,0,1,3,0,0,5,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0
Ghana Town,ghana-town.html,13.38444,-16.77111,5,24,2,3,9,1,1,13,0,0,2,4,3,1,0,1,6,11,5,1,0,0,0,2,7,0,17,9,2,1,0
Gunjur,gunjur.html,13.176,-16.7599,1,1,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Gunjur,gunjur.html,13.176,-16.7599,2,3,1,2,3,0,0,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0
Gunjur,gunjur.html,13.176,-16.7599,3,3,1,2,3,0,0,3,1,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,7,2,1,0,0
Gunjur,gunjur.html,13.176,-16.7599,5,4,1,3,4,0,0,6,1,0,1,1,0,0,0,0,0,2,4,1,0,0,0,0,0,0,7,3,1,0,0
Jabang,jabang.html,13.3619,-16.7023,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jabang,jabang.html,13.3619,-16.7023,2,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2,0,0,0
Jabang,jabang.html,13.3619,-16.7023,3,2,0,2,11,0,1,9,0,0,2,0,0,2,0,0,4,0,0,2,0,0,0,0,24,0,3,15,1,0,0
Jabang,jabang.html,13.3619,-16.7023,5,20,3,3,17,1,2,16,0,0,4,1,0,2,0,0,5,2,0,3,0,0,0,1,30,0,11,25,1,0,0
Jambanjelly,jambanjelly.html,13.2806,-16.7276,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jambanjelly,jambanjelly.html,13.2806,-16.7276,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jambanjelly,jambanjelly.html,13.2806,-16.7276,3,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jambanjelly,jambanjelly.html,13.2806,-16.7276,5,2,0,0,2,2,1,6,0,0,1,1,0,0,1,0,3,1,0,0,0,0,0,1,0,0,2,7,0,1,0
Jambur,jambur.html,13.3146,-16.7008,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jambur,jambur.html,13.3146,-16.7008,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jambur,jambur.html,13.3146,-16.7008,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Jambur,jambur.html,13.3146,-16.7008,5,1,0,3,1,0,3,11,0,0,1,1,0,0,1,0,3,0,0,1,0,0,0,2,0,0,6,17,1,0,0
Janjanbureh,janjanbureh.html,13.5391,-14.7612,1,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,1,1,0,2,0,0,5,11,0,0,0,0
Janjanbureh,janjanbureh.html,13.5391,-14.7612,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,1,1,0,2,0,0,5,14,0,0,0,0
Janjanbureh,janjanbureh.html,13.5391,-14.7612,3,2,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,5,0,1,1,0,2,0,4,5,14,0,0,0,0
Janjanbureh,janjanbureh.html,13.5391,-14.7612,5,2,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,5,0,1,1,0,2,0,4,5,15,1,0,0,0
Kartong,kartong.html,13.0913,-16.7597,1,0,0,1,1,1,0,3,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Kartong,kartong.html,13.0913,-16.7597,2,0,0,1,1,1,0,4,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0
Kartong,kartong.html,13.0913,-16.7597,3,0,0,1,1,1,0,4,0,0,2,1,1,0,0,0,0,3,2,0,0,0,3,0,0,0,9,1,0,0,0
Kartong,kartong.html,13.0913,-16.7597,5,1,0,1,1,1,0,4,0,0,2,1,1,0,0,0,0,3,4,0,0,0,4,0,0,0,11,1,1,0,0
Kerewan,kerewan.html,13.4936,-16.0891,1,11,1,0,1,0,0,3,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,3,2,1,0,0,1
Kerewan,kerewan.html,13.4936,-16.0891,2,11,1,0,1,0,0,4,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,3,2,1,0,0,1
Kerewan,kerewan.html,13.4936,-16.0891,3,11,1,0,1,0,0,4,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,3,2,1,1,0,1
Kerewan,kerewan.html,13.4936,-16.0891,5,11,1,0,1,0,0,4,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,3,2,1,1,0,1
Kerr Serign,kerr-serign.html,13.4325,-16.7203,1,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,11,4,0,0,0,0,1,0,0,9,0,1,0,0
